time;conc;expw;replicate
0;0.261948145338006;0.5;1
0.00845087169963021;0.369528166741218;0.5;1
0.0188552112293257;0.479863427118663;0.5;1
0.0592240486045444;0.523964237383145;0.5;1
0.0851711973908463;0.510147274487709;0.5;1
0.12155665906041;0.601148299350542;0.5;1
0.158689534508433;0.570769326591509;0.5;1
0.20338148112497;0.512797196065885;0.5;1
0.2399028362088;0.581729130452015;0.5;1
0.279880980018005;0.689278575837018;0.5;1
0.324114286361397;0.705789625670265;0.5;1
0.40493689449575;0.780198064651291;0.5;1
0.493896120809244;0.733219711339738;0.5;1
0.575873822964854;0.620040881268791;0.5;1
0.667678317639531;0.710990946101274;0.5;1
0.752263474681357;0.774361442508592;0.5;1
0.829986014302781;0.7522210079894;0.5;1
0.907215940297493;0.810081026448255;0.5;1
0.987698814896182;0.939662191621038;0.5;1
1.00499125186145;0.53137042846061;0.5;1
1.02438154340945;0.382387081066083;0.5;1
1.02470429026833;0.329972991183914;0.5;1
1.06165031227174;0.329939017830348;0.5;1
1.09125808990481;0.321635930218731;0.5;1
1.11715427866077;0.316094876252059;0.5;1
1.16526904064911;0.302257529344483;0.5;1
1.20202820920791;0.332568555396383;0.5;1
1.24632946225843;0.33804505999128;0.5;1
1.3055280308478;0.324197521077634;0.5;1
1.33549252869332;0.257963070964672;0.5;1
1.42055331268508;0.244091750703531;0.5;1
1.50122304072838;0.343327916470847;0.5;1
1.58699726514503;0.213593871207016;0.5;1
1.67597347813531;0.163856881585875;0.5;1
1.76838949317418;0.155496039273196;0.5;1
1.83855296162709;0.160948762520596;0.5;1
1.9232570254064;0.205008804760798;0.5;1
2.01247105187164;0.116650906805428;0.5;1
