time;replicate;expw;concm1;conc
0;1;25;0;0
2;1;25;6.74620958092647;1012.5424965472
4;1;25;50.7140395655812;3687.24148253085
6;1;25;145.342679473734;2853.25599939395
8;1;25;143.919505497695;4495.37058575522
10;1;25;135.668377908842;2217.56614147174
12;1;25;82.9475224769689;1880.30362978438
14;1;25;63.5943896355344;2519.2041072245
16;1;25;34.2127539604809;1485.59446411148
18;1;25;11.3646366638572;335.289036759434
20;1;25;9.42668455117885;137.37826085504
