time	conc	concm1	concm2	concm3	expw	replicate
0	0	0	0	0	100	1
0.04	1099.49302915082				100	1
0.08	2996.85839872717		0.0832177531206639		100	1
0.08	3085.51088099668				100	2
0.12	3475.71663565515		0.0832177531206639		100	1
0.12	4362.30887468651				100	2
0.24	5284.90143731629	0.748959778085993	0.0832177531206639	1.91400832177531	100	1
0.24	6135.96526710352	4.53536754507628	0.0832177531206639		100	2
0.40	8778.55081843432	10.5686546463245	0.0416088765603355	6.61581137309292	100	1
0.40	9505.56858938057	12.2330097087378		9.23717059639389	100	2
0.75	9134.98098859315	25.256588072122	2.70457697642163	17.1844660194174	100	1
0.75	8957.60860771782	28.5852981969486	3.41192787794729	20.9708737864077	100	2
1.00	8533.49243588706	18.5991678224687	5.86685159500693	18.8072122052704	100	1
1.00	8161.15201035514	26.2968099861303	4.78502080443827	16.8099861303744	100	2
1.00	7877.39665075641	29.5423023578363	1.70596393897364	10.8599167822468	100	3
1.05	6264.19113879675	27.8363384188626	7.07350901525658	15.6033287101248	100	1
1.05	8250.00674163363	17.2260748959778	3.24549237170596		100	2
1.09	3711.20189844403	26.6712898751733	5.24271844660194	16.4355062413314	100	1
1.09	3480.70544454332	22.9264909847434	5.03467406380027	22.4687933425797	100	2
1.18	3144.23050993716	14.4798890429958	6.1997226074896	16.8932038834951	100	1
1.18	2771.95750074158	17.6837725381414	2.74618585298197	19.0984743411927	100	2
1.30	2612.92236334708	27.1705963938973	3.20388349514563	17.1012482662968	100	1
1.30	1176.81956691745	10.4854368932038	5.2011095700416	11.2343966712898	100	2
1.46	805.288137421459	21.6782246879334	4.57697642163661	18.8904299583911	100	1
1.46	521.600194159049	19.3065187239944	3.61997226074895		100	2
1.75	664.927325189439	9.32038834951456	1.45631067961165	6.49098474341192	100	1
1.75	132.945015236091		0.0416088765603355		100	2
2.08	524.701345630073	11.6504854368932	2.16366158113731	6.86546463245492	100	1
2.08	276.54181161179	8.44660194174757	0.957004160887652	6.11650485436893	100	2
2.71	403.823854596445	10.4022191400832	0.0416088765603355	8.03051317614424	100	1
2.71	120.135911334033	1.53952843273231	1.58113730929265		100	2
3.1	122.158401423832	3.57836338418862	0.0416088765603355	3.99445214979195	100	1
3.1	122.158401423832	1.70596393897364		2.5381414701803	100	2
3.95	161.866623520212	8.8626907073509	0.0416088765603355	2.4133148404993	100	1
5.0	184.788177871261	3.32871012482663	0.0832177531206639	1.49791955617198	100	1
