time;conc;exps;replicate
0;0.0000136919315403422;0.01;1
1;0.000117359413202933;0.01;1
4;0.000193643031784841;0.01;1
8;0.000160391198044009;0.01;1
11;0.000147677261613691;0.01;1
16;0.000183863080684596;0.01;1
21;0.000273838630806845;0.01;1
22;0.0000625916870415647;0.01;1
24;0.0000136919315403422;0.01;1
29;0.0000117359413202933;0.01;1
39;0.0000127139364303178;0.01;1
