time	expw	conc	replicate
0	0.00027	0.013	1
0	0.00027	0.015	2
0	0.00027	0.014	3
1	0.00027	0.115	1
1	0.00027	0.165	2
1	0.00027	0.171	3
2	0.00027	0.238	1
2	0.00027	0.212	2
2	0.00027	0.227	3
4	0.00027	0.633	1
4	0.00027	0.479	2
4	0.00027	0.643	3
7	0.00027	0.366	1
7	0.00027	0.454	2
7	0.00027	0.509	3
10	0.00027	0.487	1
10	0.00027	0.421	2
10	0.00027	0.465	3
14	0.00027	0.466	1
14	0.00027	0.533	2
14	0.00027	0.451	3
24	0.00027	0.484	1
24	0.00027	0.442	2
24	0.00027	0.412	3
