time;conc;expf;replicate
0;0;12.5;1
2;0.293465503641678;12.5;1
5;0.381454069470594;12.5;1
5;0.394045098845563;12.5;2
5;0.421298824750408;12.5;3
9;0.446381790303101;12.5;1
9;0.484117718479041;12.5;2
9;0.498795898320987;12.5;3
14;0.473561196310013;12.5;1
14;0.502911362669077;12.5;2
14.5;0.425315195901253;12.5;1
15;0.450469384689466;12.5;1
15;0.538522980429073;12.5;2
15;0.618187717689392;12.5;3
17;0.469297092166055;12.5;1
17;0.488168152916439;12.5;2
17;0.502846332758385;12.5;3
19;0.530072188701506;12.5;1
19;0.492326970538324;12.5;2
23;0.527895235024525;12.5;1
23;0.496448628211242;12.5;2
31;0.485827076131521;12.5;1
31;0.475344873860427;12.5;2
31;0.433416064776049;12.5;3
48.2;0.510690178652826;12.5;1
48.2;0.498111535927513;12.5;2
48.2;0.466664929114229;12.5;3
86;0.49954219396274;12.5;1
86;0.463902706241019;12.5;2
86;0.438742324127979;12.5;3
128;0.597337889656518;12.5;1
128;0.523962473758856;12.5;2
128;0.49670874785401;12.5;3
128;0.47784078376604;12.5;4
128;0.278678940615245;12.5;5
