time;expw;conc;replicate
0;1.4;0.23;1
8;1.4;2.8;1
39;1.4;5.5;1
69;1.4;7.7;1
99;1.4;6.2;1
119;1.4;7.6;1
0;26;0.23;2
7;26;79;2
22;26;120;2
43;26;350;2
63;26;240;2
105;26;320;2
