time;exps;conc;replicate;concm1
0;49.6694025890287;0.274064122677155;1;0.0
1;49.6694025890287;5.14122202385879;1;0.5
2;49.6694025890287;8.20549433834714;1;1
4;49.6694025890287;11.0466966365718;1;3
7;49.6694025890287;15.0162031585138;1;6
9;49.6694025890287;21.8510728204039;1;8
10;49.6694025890287;21.5979483246302;1;9
11;49.6694025890287;22.9022320031686;1;10
14;49.6694025890287;21.5369746146883;1;15
16;49.6694025890287;24.4566320638569;1;15
18;49.6694025890287;23.61858;1;15
