time	expw	conc	replicate
0	0.00027	0.015	1
0	0.00027	0.016	2
0	0.00027	0.016	3
1	0.00027	0.160	1
1	0.00027	0.165	2
1	0.00027	0.183	3
2	0.00027	0.371	1
2	0.00027	0.311	2
2	0.00027	0.386	3
4	0.00027	0.898	1
4	0.00027	0.727	2
4	0.00027	0.869	3
7	0.00027	0.522	1
7	0.00027	0.669	2
7	0.00027	0.751	3
10	0.00027	0.605	1
10	0.00027	0.628	2
10	0.00027	0.641	3
14	0.00027	0.591	1
14	0.00027	0.528	2
14	0.00027	0.561	3
24	0.00027	0.525	1
24	0.00027	0.481	2
24	0.00027	0.453	3
