time;expw;conc;replicate
0;0.10;0.09;1
8;0.10;0.37;1
39;0.10;0.56;1
69;0.10;0.59;1
99;0.10;0.57;1
119;0.10;0.76;1
0;3.4;0.09;2
7;3.4;14;2
22;3.4;21;2
43;3.4;61;2
63;3.4;45;2
105;3.4;63;2
