time	expw	conc	replicate
0	0.00027	0.103	1
0	0.00027	0.092	2
0	0.00027	0.092	3
1	0.00027	2.26	1
1	0.00027	1.80	2
1	0.00027	2.45	3
2	0.00027	1.77	1
2	0.00027	2.09	2
2	0.00027	1.29	3
4	0.00027	1.65	1
4	0.00027	2.23	2
4	0.00027	2.53	3
7	0.00027	1.39	1
7	0.00027	2.48	2
7	0.00027	1.66	3
10	0.00027	1.92	1
10	0.00027	0.764	2
10	0.00027	0.925	3
14	0.00027	0.793	1
14	0.00027	0.816	2
14	0.00027	1.11	3
24	0.00027	0.656	1
24	0.00027	0.266	2
24	0.00027	0.225	3
