time;conc;exps;replicate
0;0.0000518337408312958;0.01;1
1;0.000150611246943765;0.01;1
4;0.000208312958435207;0.01;1
8;0.000144743276283618;0.01;1
11;0.000219070904645476;0.01;1
16;0.000237652811735941;0.01;1
21;0.000156479217603911;0.01;1
22;0.000214180929095354;0.01;1
24;0.0000723716381418092;0.01;1
29;0.0000929095354523227;0.01;1
39;0.000103667481662591;0.01;1
