time	expw	replicate	conc
0	0.031	1	0
2	0.031	1	0
3	0.031	1	0.81
5	0.031	1	2.67
7	0.031	1	3.75
10	0.031	1	2.43
0	0.07	2	0
2	0.07	2	8.06
3	0.07	2	13.4
5	0.07	2	1.3
7	0.07	2	14.8
10	0.07	2	14.8
0	0.072	3	0
2	0.072	3	17.1
3	0.072	3	16
5	0.072	3	14.3
7	0.072	3	13.9
10	0.072	3	28.8
0	0.348	4	0
2	0.348	4	22.4
3	0.348	4	35.2
5	0.348	4	77.5
7	0.348	4	
10	0.348	4	
