time	conc	expw	replicate
0.0	0.0	2.109	1
0.0	0.0	2.109	2
5.3	2644.90701482538	2.109	1
5.28333333333333	2540.48533060488	2.109	2
24.0166666666667	4796.27565564883	2.109	1
24.0166666666667	5061.27521043739	2.109	2
24.6	3662.34062343668	2.109	1
24.5833333333333	3247.35473916036	2.109	2
26.15	2993.7485509503	2.109	1
26.1333333333333	3119.02200013354	2.109	2
26.85	2821.07638239141	2.109	1
26.8333333333333	2835.49133788562	2.109	2
28.2666666666667	2909.15364812506	2.109	1
28.2833333333333	2831.33185749824	2.109	2
29.15	2500.25371215795	2.109	1
29.15	2532.48491048627	2.109	2
49.1	2537.69802508158	2.109	1
48.4	2684.55833248436	2.109	2
