time	exps	conc	replicate
0.0	0.00501844673856841	0.0000621397334853844	1
1.0	0.00501844673856841	0.000354127456542863	1
1.0	0.00501844673856841	0.000362654265544153	2
2.0	0.00501844673856841	0.000156265793644815	1
2.0	0.00501844673856841	0.000216424798334505	2
4.0	0.00501844673856841	0.000203302780254539	1
7.0	0.00501844673856841	0.000137788929450014	1
7.0	0.00501844673856841	0.000194190700829106	2
9.0	0.00501844673856841	0.000117445458170583	1
9.0	0.00501844673856841	0.000120521939151338	2
10.0	0.00501844673856841	0.0000845474491245619	1
11.0	0.00501844673856841	0.0000775562348269426	1
11.0	0.00501844673856841	0.0000719184603200726	2
14.0	0.00501844673856841	0.000110240017782701	1
14.0	0.00501844673856841	0.000138703169655092	2
16.0	0.00501844673856841	0.0	1
18.0	0.00501844673856841	0.000112006605857159	1
18.0	0.00501844673856841	0.0	2
