time	conc	expf	replicate	concm1
0	0	1.631	1	4.88849574002525E-07
1.2012012012012	0	1.631	1	6.63438707575014E-07
3.36336336336336	0.0000609456171499969	1.631	1	9.77699148005051E-07
9.36936936936936	0	1.631	1	0.000129754644070953
18.2582582582582	0.000125823633852831	1.631	1	0.000352006611108524
28.1081081081081	0.000226014335503386	1.631	1	0.000609211322687275
37.2372372372372	0.00043573354376274	1.631	1	0.000843090926020764
43.003003003003	0.000233958045636877	1.631	1	0.00096027515247451
45.1651651651651	0.000155007562306832	1.631	1	0.00118144466688393
46.1261261261261	0.00015933451699875	1.631	1	0.0011932119744867
48.2882882882882	0.000303741697902281	1.631	1	0.00121678150751897
58.1381381381381	0.000259406852107582	1.631	1	0.00116004003910796
67.027027027027	0.000201985927533372	1.631	1	0.00097528981796173
79.9999999999999	0.000161859669888867	1.631	1	0.000756320126635318
