time	expw	conc	replicate
0	0.0111	0.072	1
0	0.0111	0.061	2
0	0.0111	0.067	3
2	0.0111	3.93	1
2	0.0111	4.20	2
2	0.0111	3.39	3
5	0.0111	3.75	1
5	0.0111	4.36	2
5	0.0111	5.34	3
7	0.0111	6.09	1
7	0.0111	5.86	2
7	0.0111	5.31	3
9	0.0111	4.15	1
9	0.0111	5.47	2
9	0.0111	5.02	3
15	0.0111	4.37	1
15	0.0111	3.23	2
15	0.0111	3.83	3
21	0.0111	3.69	1
21	0.0111	2.46	2
21	0.0111	2.32	3
