time;conc;replicate;exps
0;0;1;1.5
1;2.18181818181818;1;1.5
4;4.56818181818181;1;1.5
7;7.56818181818181;1;1.5
10;10.090909090909;1;1.5
14;12.75;1;1.5
21;15.0681818181818;1;1.5
