time	expw	conc	replicate	concm1	concm2	concm3	concm4	concm5	concm6	concm7	concm8
0	0.5	0	1	0	0	0	0	0	0	0	0
0.02	0.5	155.489685824291	1	0	0	0	0	0	0	0	0
0.02	0.5	150.777656639763	2	0	0	0	0	0	0	0	0
0.06	0.5	376.005374395077	1	0	0	0	0	0	2.56777643822064	0	0
0.06	0.5	395.795896970097	2	0	0	0	0	0	4.04927509351138	0.00130753509736791	0
0.1	0.5	565.419244592924	1	0	0.461538461538452	0	0.0730816077953715	0	9.58190361371295	0.92155642156068	0
0.1	0.5	662.479768529062	2	0	0.153846153846146	0	0.109622411693058	0	12.8410460910692	0.846628975546249	0
0.23	0.5	617.215179296989	1	2.68413736547208	1.69230769230769	0	0.0730816077953715	3.3465958170824	24.4987480293053	1.69553192517488	0
0.23	0.5	726.536682133101	2	0	2.23076923076922	0.0253827547231644	0.207064555420219	8.48591733633483	27.1652910445454	2.87327995179174	0.112641815235009
0.4	0.5	683.139924289489	1	4.93850635438092	6.07692307692308	0.0383518427491136	2.91108404384896	12.8252362379917	27.7631456922934	5.41475866028816	0
0.4	0.5	693.506388495452	2	7.56577983945641	10.4615384615384	1.06988033447472	4.45797807551766	17.5683192419443	44.552690964172	8.02815179913987	0.419667394827707
0.73	0.5	790.484436759891	1	21.0285513453354	18.6153846153846	1.02286391899735	8.7088915956151	35.5364761929691	27.4741104825496	14.804253468521	1.16845183567049
0.73	0.5	786.714813412269	2	12.3962358093753	22.4615384615384	2.77033050346166	5.40803897685749	39.4896997617987	64.9067977371788	21.6509051838081	1.60236534893007
1	0.5	791.351644190249	1	25.053090227478	33.6153846153846	5.75696984339895	2.48477466504263	37.1070334790461	34.3944171380877	16.6840057190448	5.17886923637047
1	0.5	787.582020842626	2	23.0691626095204	25.6923076923076	5.4535987136442	2.09500609013398	85.7216710729523	40.0242665924758	15.8373767434985	4.27365936156719
1.04	0.5	569.876569497208	1	15.9928086566471	21.4615384615384	2.78391055494922	0.596833130328866	33.1495563175666	37.2601935144826	12.4510313893697	4.89469851783994
1.04	0.5	567.991757823396	2	39.1565040879362	18.6153846153846	3.97331755936759	0.612845	39.278	52.6673158366564	20.1076726728007	2.72509571794329
1.08	0.5	348.399069049117	1	39.1565040879362	36.2307692307692	8.13603379183364	2.33861144945188	52.3185351935711	23.3350335404494	15.0284673130437	2.52325417518145
1.08	0.5	344.629445701494	2	27.3605381792293	40.7692307692307	8.86416338273806	0.596833130328866	59.0379027825039	17.8034869702309	11.3103775649717	5.32121297535997
1.17	0.5	295.600084631898	1	28.8636010336429	29.3076923076923	9.2895050362829	1.72959805115712	41.2464335261628	63.5353488515873	10.243684747603	3.32387898433279
1.17	0.5	285.236046180985	2	17.8709388172583	33.7692307692307	3.91360976652864	1.16930572472594	111.404209093526	17.9059630900491	17.1275443638131	3.75029948558945
1.29	0.5	238.0866452751	1	9.02549637616674	28.1538461538461	9.77549869892554	0.779537149817295	47.9599115252728	14.056694179109	11.6438842888288	1.86525497380969
1.29	0.5	216.411311026269	2	21.2507800760137	13.6153846153846	5.28594478556571	0.267965895249696	62.7807371148862	10.9946211629416	10.7603316591199	1.57348554247997
1.46	0.5	205.991480209207	1	15.7300272378888	23	1.26894333869315	2.26552984165651	52.2985760280606	8.52993910167239	9.51049865409158	0.444131256899913
1.46	0.5	165.472880732362	2	3.82655164722766	6.69230769230768		0.682095006090133	27.398699055048	26.0111595412532	1.8907241754712	2.92041904493458
1.75	0.5	184.238521798778	1	14.232731876891	15.7692307692307	3.27270909530196	0.292326431181484	38.0562390388189	6.26479953012459	6.20038828107456	3.07811288845042
1.75	0.5	139.947873219259	2	11.3907994962455	13.4615384615384	2.90865818538297	0.133982947624847	36.2775829123367	11.9932609972487	5.20651948369418	1.51446926455734
2.08	0.5	126.666864320781	1	7.80260753784354	8.61538461538461	1.15027757180903	0.548112058465285	21.2408056958877	8.24847754180963	10.1789901849593	0.714619594578724
2.08	0.5	117.242805951724	2	1.95806401467105	2.46153846153846	0.10666866618345	0.389768574908647	7.80207051802213	31.853689449442	2.04393317927158	0.415357151246095
2.71	0.5	89.7408080729126	1	7.16791291084941	8.84615384615384	1.43234829360682	0.267965895249696	11.1309975656361	14.8812946304367	1.86551148783281	0.685868977990746
2.71	0.5	92.5680255836297	2	0.89423183070604	2	0.0731212179278895	0.146163215590743	25.3605737769285	4.11573773532411	0.393170118843567	0.00507363822140849
3.13	0.5	46.2809805980023	1	5.77902840265214	7.69230769230769	0.608963944824445	0.864799025578562	27.1182891395963	5.21283501808402	4.33547371143837	0.768938059333381
3.13	0.5	42.5113572503794	2	2.883566473741	4.61538461538461	1.99243516150263	0.0121802679658955	22.3758605345129	11.6328170886271	3.15755513676532	0.118067789444014
3.96	0.5	77.1547779962452	1	0.642805164610116	0.153846153846146	0.0787865154809814	0.0121802679658955	7.51217181896709	6.12229126093542	1.06711918750906	0.00745777840415318
3.96	0.5	8.34944888192887	2	0.160408410627503	1.15384615384614	0.0181067353167438	0	0.790841033426687	18.0733562088472	0.0363835853180845	0.00745777840415318
4.96	0.5	35.4220881168995	1	1.13880959837067	2.69230769230768	0.301815950034297	0.511571254567599	18.3293851268225	15.2341648891774	1.99680506641425	0.645162426890284
4.96	0.5	23.1683864820755	2	0.388224400552417	0.153846153846146	0.0227167323452395	0.0121802679658955	0.348140198413744	4.76459859655631	0.229984053756744	0.00927818100674215
6	0.5	20.9973357123699	1	0.402372782838099	0.307692307692306	0.0151630022744502	0.0121802679658955	7.60967725047771	3.90089338155739	0	0.116024240715947
6	0.5	3.09162481116152	2	0	0.307692307692306	0	0.0487210718635804	0.296115488312437	0.740826609787006	0.276060453600976	0.048681088953093
