time	exps	conc	replicate
0.0	0.0523216128667216	0.000274064122677155	1
1.0	0.0523216128667216	0.00514122202385879	1
2.0	0.0523216128667216	0.00820549433834714	1
4.0	0.0523216128667216	0.0110466966365718	1
7.0	0.0523216128667216	0.0150162031585138	1
9.0	0.0523216128667216	0.0218510728204039	1
10.0	0.0523216128667216	0.0215979483246302	1
11.0	0.0523216128667216	0.0229022320031686	1
14.0	0.0523216128667216	0.0215369746146883	1
16.0	0.0523216128667216	0.0244566320638569	1
18.0	0.0523216128667216	0.02361858	1
