time;conc;replicate;expf
0;0;1;12.5
2;0.29333550458164;1;12.5
5;0.38393914982107;1;12.5
5;0.421340903450249;2;12.5
9;0.446998061284131;1;12.5
9;0.484396924291652;2;12.5
9;0.500145031082885;3;12.5
14;0.441167677400519;1;12.5
14;0.474629513710232;2;12.5
14;0.506125727292698;3;12.5
14.5;0.610471387892908;1;12.5
14.5;0.5396020167107;2;12.5
14.5;0.490389182988096;3;12.5
15;0.423474182233643;1;12.5
15;0.453001882467205;2;12.5
15;0.504183229538714;3;12.5
19;0.529831715507622;1;12.5
19;0.482584504512265;2;12.5
23;0.527929686456846;1;12.5
23;0.484622392780954;2;12.5
31.4;0.478858493195469;1;12.5
31.4;0.467047413102044;2;12.5
31.4;0.425708632775057;3;12.5
48.2;0.506692289137611;1;12.5
48.2;0.488975668997473;2;12.5
86;0.497468315427841;1;12.5
86;0.458098048449758;2;12.5
86;0.442349941658524;3;12.5
128;0.594619218721997;1;12.5
128;0.529655387586502;2;12.5
128;0.496187770033473;3;12.5
128;0.478474040514993;4;12.5
128;0.273751542850618;5;12.5
