time;expw;conc;replicate
0;3.2;0.22;1
8;3.2;4.0;1
39;3.2;8.6;1
69;3.2;4.6;1
119;3.2;4.4;1
0;52;0.22;2
7;52;82;2
22;52;88;2
43;52;190;2
63;52;120;2
105;52;180;2
