time;expw;conc;replicate
0;28;0;1
8;28;12;1
39;28;14;1
69;28;11;1
99;28;7.9;1
119;28;9.9;1
0;670;0;2
7;670;340;2
22;670;300;2
43;670;540;2
63;670;390;2
105;670;540;2
