time;conc;expw;replicate
0;66.8064583770183;10;1
1;164.562801425875;10;1
2;78.8005871251834;10;1
3;286.894527154539;10;1
5;182.553994548123;10;1
10;482.029775634304;10;1
14;322.373663241769;10;1
21;321.576850492765;10;1
24;333.612916754036;10;1
28;308.660096456279;10;1
29;320.780037743761;10;1
30;363.472426085133;10;1
31;222.562382050743;10;1
33;240.721325225413;10;1
35;234.346823233382;10;1
38;111.637659886768;10;1
42;111.134409729503;10;1
45;147.494233591947;10;1
49;61.4384566995172;10;1
56;97.3369679178022;10;1
