time;expw;conc;replicate
0;0.32;2.3;1
8;0.32;2.9;1
39;0.32;3.8;1
69;0.32;4.5;1
99;0.32;4.5;1
119;0.32;6.0;1
0;8.0;2.3;2
7;8.0;13;2
22;8.0;24;2
43;8.0;95;2
63;8.0;88;2
105;8.0;160;2
