time	expw	conc	replicate
0	0.0111	0.725	1
0	0.0111	0.674	2
0	0.0111	0.544	3
2	0.0111	63.2	1
2	0.0111	54.4	2
2	0.0111	54.8	3
5	0.0111	62.6	1
5	0.0111	89.7	2
5	0.0111	66.1	3
7	0.0111	111	1
7	0.0111	85.2	2
7	0.0111	79	3
9	0.0111	87.3	1
9	0.0111	87.5	2
9	0.0111	109	3
15	0.0111	68.0	1
15	0.0111	48.1	2
15	0.0111	53.5	3
21	0.0111	54.9	1
21	0.0111	34.1	2
21	0.0111	51.5	3
