time;expw;conc;replicate
0;0.32;0.06;1
8;0.32;0.26;1
10;0.32;;1
34;0.32;;1
39;0.32;0.21;1
63;0.32;;1
69;0.32;0.20;1
99;0.32;0.20;1
119;0.32;0.28;1
0;7.1;0.06;2
7;7.1;3.7;2
22;7.1;5.8;2
43;7.1;12;2
63;7.1;6.2;2
105;7.1;7.1;2
