time	conc	replicate	exps	concm1	concm2	concm3	concm4	concm5	concm6
0	0	1	0.5	0	0	0	0	0	0
2	0.130476679943466	1	0.5	0.594565077733522	0.031029166131312	0.031029166	0.031029166131312	0.0143903379159708	0.0143903379159708
4	0.394706411409482	1	0.5	1.05768983682384	0.0134909417962223	0.063214699	0.0300655274315815	0.0301297700115639	0.0135551843762047
6	0.476615700886547	1	0.5	1.67005010921238	0.360593601439033	0.095464474	0.0291018887318514	0.0291018887318514	0.0623153025825513
10	0.557625594243864	1	0.5	1.9996145445201	0.309006809713478	0.275857638	0.07696261081845	0.0603880251830908	0.0603880251830908
15	0.671270718232043	1	0.5	2.5110497237569	0.17403314917127	0.671270718	0.107670564049851	0.0745856353591154	0.0911602209944746
21	0.585571116536039	1	0.5	3.121418476166	0.088333547475266	0.734678145	0.171206475652061	0.254079403828856	0.104843890530643
23	0.319478350250545	1	0.5	2.02659642811255	0.0707953231401767	0.534947964	0.302839522035204	0.418797378902736	0.0210715662340996
25	0.169279198252601	1	0.5	1.9096106899653	0.00353334189901	0.252152126	0.517345496595143	0.467621739689064	0.00359758447899238
27	0.168251316972889	1	0.5	1.34517538224335	0.00256970319927996	0.251188488	0.18489014518823	0.383785172812539	0.0191442888346391
31	0.149877939098033	1	0.5	1.11120390594886	0.000770910959783766	0.232750867	0.183027110368751	0.315623795451624	0.000706668379801378
